PERIF,KOMMA,PSIFOI2023,PSIFOI2019
Ροδόπης,ΟΑΚΚΕ,12,0
Ροδόπης,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Ροδόπης,ΝΕΑ ΔΟΜΗ,0,0
Ροδόπης,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,0,0
Ροδόπης,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Ροδόπης,SOCIAL,0,0
Ροδόπης,ΕΑΝ...,0,0
Ροδόπης,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,0,0
Ροδόπης,Ανεξάρτητοι,0,0
Ροδόπης,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,118196,-
Ροδόπης,ΑΚΥΡΑ,1452,-
Ροδόπης,ΛΕΥΚΑ,578,-
Ροδόπης,ΕΓΚΥΡΑ,60838,-
Ροδόπης,ΣΥΜΜΕΤΟΧΗ,62868,-
Ξάνθης,ΝΔ,22160,22347
Ξάνθης,ΣΥΡΙΖΑ-ΠΣ,16388,24059
Ξάνθης,ΠΑΣΟΚ-Κίνημα Αλλαγής,11274,5333
Ξάνθης,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,2485,2089
Ξάνθης,ΚΚΕ,1756,1331
Ξάνθης,ΝΙΚΗ,1724,0
Ξάνθης,ΜέΡΑ25,1187,1428
Ξάνθης,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,1020,654
Ξάνθης,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,478,514
Ξάνθης,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,400,0
Ξάνθης,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,337,0
Ξάνθης,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,318,0
Ξάνθης,Κίνημα 21,315,0
Ξάνθης,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,224,0
Ξάνθης,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,220,472
Ξάνθης,ΚΚΕ (μ-λ),206,166
Ξάνθης,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,193,0
Ξάνθης,ΕΑΝ...,151,0
Ξάνθης,ΑΝΤ.ΑΡ.ΣΥ.Α.,147,184
Ξάνθης,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,143,0
Ξάνθης,Τ.ΟΛ.ΜΑ,138,0
Ξάνθης,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,130,0
Ξάνθης,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,93,0
Ξάνθης,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,78,121
Ξάνθης,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,53,0
Ξάνθης,Μ-Λ ΚΚΕ,46,27
Ξάνθης,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,39,0
Ξάνθης,Ο.Κ.Δ.Ε.,26,25
Ξάνθης,ΟΑΚΚΕ,15,0
Ξάνθης,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Ξάνθης,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Ξάνθης,ΝΕΑ ΔΟΜΗ,0,0
Ξάνθης,Κ.Ο.Τ.Ε.Σ.,0,0
Ξάνθης,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Ξάνθης,SOCIAL,0,0
Ξάνθης,Ανεξάρτητοι,0,0
Ξάνθης,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,120564,-
Ξάνθης,ΑΚΥΡΑ,1600,-
Ξάνθης,ΛΕΥΚΑ,408,-
Ξάνθης,ΕΓΚΥΡΑ,61746,-
Ξάνθης,ΣΥΜΜΕΤΟΧΗ,63754,-
Δράμας,ΝΔ,23122,25672
Δράμας,ΠΑΣΟΚ-Κίνημα Αλλαγής,9934,7199
Δράμας,ΣΥΡΙΖΑ-ΠΣ,8150,13288
Δράμας,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,4049,3916
Δράμας,ΝΙΚΗ,3128,0
Δράμας,ΚΚΕ,2302,1626
Δράμας,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,1714,919
Δράμας,ΜέΡΑ25,1238,1812
Δράμας,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,1128,0
Δράμας,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,570,606
Δράμας,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,528,0
Δράμας,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,452,0
Δράμας,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,390,0
Δράμας,Κίνημα 21,375,0
Δράμας,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,228,800
Δράμας,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,195,0
Δράμας,Τ.ΟΛ.ΜΑ,189,0
Δράμας,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,180,0
Δράμας,ΑΝΤ.ΑΡ.ΣΥ.Α.,168,146
Δράμας,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,156,0
Δράμας,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,143,252
Δράμας,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,138,0
Δράμας,ΚΚΕ (μ-λ),70,37
Δράμας,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,63,0
Δράμας,Μ-Λ ΚΚΕ,43,17
Δράμας,ΟΑΚΚΕ,13,0
Δράμας,Ο.Κ.Δ.Ε.,11,13
Δράμας,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Δράμας,ΝΕΑ ΔΟΜΗ,0,0
Δράμας,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,0,0
Δράμας,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,0,0
Δράμας,Κ.Ο.Τ.Ε.Σ.,0,0
Δράμας,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Δράμας,SOCIAL,0,0
Δράμας,ΕΑΝ...,0,0
Δράμας,Ανεξάρτητοι,0,0
Δράμας,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,114364,-
